id,name,name_uz,name_ru
1,Fizika,Fizika,Физика
2,Informatika va axborot texnologiyalari,Informatika va axborot texnologiyalari,Информатика и информационные технологии
3,Musiqa madaniyati,Musiqa madaniyati,Музыкальная культура
4,Matematika,Matematika,Математика
6,Biologiya,Biologiya,Биология
8,Kimyo,Kimyo,Химия
9,Tarix,Tarix,История
12,Jismoniy tarbiya,Jismoniy tarbiya,Физическая культура
13,Texnologiya,Texnologiya,Технология
14,Tasviriy san'at,Tasviriy san'at,Изобразительное искусство
15,Ona tili va adabiyot,Ona tili va adabiyot,Родной язык и литература
16,Chet tili,Chet tili,Иностранный язык
18,Chaqiruvga qadar boshlang'ich tayyorgarlik,Chaqiruvga qadar boshlang'ich tayyorgarlik,Начальная допризывная подготовка
19,Rus tili,Rus tili,Русский язык
21,Chizmachilik,Chizmachilik,Черчение
7,Geografiya,Geografiya,География
22,Iqtisod,Iqtisod,Экономика
20,O‘zbek tili,O‘zbek tili,
5,Tabiiy fanlar,Tabiiy fanlar,Естественные науки
11,Davlat va huquq asoslari,Davlat va huquq asoslari,Основы государства и права
10,Tarbiya,Tarbiya,Воспитание
